World Rank,University Name,Country,National Rank,Total Score
221,King Abdullah University of Science and Technology,SA,3-4,
222,Korea Advanced Institute of Science and Technology,KR,3-7,
223,Korea University,KR,3-7,
224,KTH Royal Institute of Technology,SE,6,
225,Lanzhou University,CN,33-50,
226,Maastricht University,NL,10,
227,Macquarie University,AU,9-15,
228,Medical University of Vienna,AT,2,
229,Nanjing Medical University,CN,33-50,
230,NanJing Tech University,CN,33-50,
231,National Taiwan University,TW,1-2,
232,Newcastle University,GB,21-25,
233,North Carolina State University  Raleigh,US,62-82,
234,Northeastern University Boston,US,62-82,
235,Oregon Health and Science University,US,62-82,
236,Oregon State University,US,62-82,
237,Peking Union Medical College,CN,33-50,
238,Polytechnic University of Milan,IT,5-8,
239,Qingdao University,CN,33-50,
240,Queen Mary University of London,GB,21-25,
241,Queens University,CA,8-11,
242,RWTH Aachen University,DE,10-19,
243,Shanghai University,CN,33-50,
244,Swinburne University of Technology,AU,9-15,
245,Taif University,SA,3-4,
246,Technical University of Berlin,DE,10-19,
247,Tel Aviv University,IL,4,
248,The George Washington University,US,62-82,
249,The University of Auckland,NZ,1,
250,The University of Calgary,CA,8-11,
251,Tohoku University,JP,6-8,
252,Trinity College Dublin,IE,1,
253,TU Dresden,DE,10-19,
254,Ulsan National Institute of Science and Technology,KR,3-7,
255,University of Massachusetts Medical School  Worcester,US,62-82,
256,National Autonomous University of Mexico,MX,1,
257,University of Science and Technology Beijing,CN,33-50,
258,The University of Texas Health Science Center at Houston,US,62-82,
259,University of Aberdeen,GB,21-25,
260,University of Antwerp,BE,4-5,
261,University of Barcelona,ES,1-2,
262,University of Bologna,IT,5-8,
263,University of Bordeaux,FR,9-12,
264,University of Buenos Aires,AR,1,
265,University of California Riverside,US,62-82,
266,University of Cape Town,ZA,1,
267,University of Cincinnati,US,62-82,
268,University of Colorado at Denver,US,62-82,
269,University of Delaware,US,62-82,
270,University of East Anglia,GB,21-25,
271,University of ErlangenNuremberg,DE,10-19,
272,University of Granada,ES,1-2,
273,University of Hamburg,DE,10-19,
274,University of Iowa,US,62-82,
275,University of Kiel,DE,10-19,
276,University of Leipzig,DE,10-19,
277,University of Lisbon,PT,1-2,
278,University of Lorraine,FR,9-12,
279,University of Mainz,DE,10-19,
280,University of Manitoba,CA,8-11,
281,University of Missouri  Columbia,US,62-82,
